,content
168,　　□　本报记者 赵丽
169,　　“这么有名的店，也被下线，我以前就是冲着大牌才订外卖，这也能‘中招’。”
170,　　坐在记者对面的北京市民刘昌盛一脸无奈，连连摇头。
171,　　因为上有老下有小，在工作实在忙不开时，刘昌盛会选择订外卖到家里。也正是因为家里上有老下有小，刘昌盛在订外卖时格外慎重，甚至被妻子调侃为“墨迹”。他的宗旨是——贵的、吃过的、连锁品牌为最佳。
172,　　然而，即便如此，在看到网上这份下线名单时，刘昌盛还是“崩溃了”。
173,　　这份名单来自北京市食品药品监督管理局，是自2016年12月至今的治理清单，百度外卖、美团外卖、饿了么三大订餐平台225家无证餐饮店铺被下线，其中不乏知名或连锁餐厅。
174,　　“何去何从？可能外卖已成为都市人生活中不可或缺的一个部分，但如此提心吊胆，如何继续？”刘昌盛的问题，可能也是很多人在2017年的问号。这一问题的答案，需要外卖平台、商家以及监管者共同给出。
175,　　平台推诿扯皮
176,　　除了考虑到家人身体健康，让刘昌盛谨慎订外卖的原因，还来自于他自己的经历。
177,　　“去年7月的一天，我在一家外卖平台订外卖，吃完后，凌晨三点肚子开始排山倒海，腹痛腹泻想吐……晚上除了吃小龙虾、水、口香糖(卖家送)，并没有吃其他东西。第二天，继续腹泻不止，腹部阵痛，恶心反胃，想吐吐不出。”说起那个晚上，刘昌盛说“简直不堪回首”。
178,　　不过，重点在后面，吃坏肚子却投诉无门。
179,　　直播以一种情理之中又出人意料的速度，让2016年成为自己的元年。它早已不再是一档节目，不再仅仅是人们茶余饭后、深夜失眠的消遣。它成为一个线上的江湖——有“竖子”成名，有黯然神伤。
180,"　　,直播“到底在做什么”"
181,　　被人关注的吸引力是如此之大，一些人无所不用其极。直播无疑给这些人提供了新的发挥空间。尽管这是个难以解释的问题：究竟是直播造就了这些行为，还是它们本来就存在，恰巧直播提供了机会：
182,　　2016年11月，一个ID为“成都殡葬服务中心”的帐号在“快手直播”平台上直播了殡仪馆火化的全过程。直播不仅公开了亡者的个人信息，甚至配图上也标注着“胆小勿入”“快来烤火了”。
183,　　12月30日，沈姓女子在公共澡堂进行视频直播，一起洗澡的女性裸体被陌生人观赏、点赞。当事人随后被刑事拘留4天。
184,　　12月3日，一男一女藏在北京某宜家店的衣柜里，试图在此过夜。保安发现后把他们移交警方。然而即使在审讯过程中，直播也没有被掐断。
185,　　类似事件频出。点击率成为巨大的黑洞，一端是名利，一端是好奇。
186,　　黑洞之外尤有光明。直播为所有人都创造了一样的机会，这其中包括希望分享观点和知识的人。
187,　　“急诊科女超人”于莺在2016年11月化身医生主播，在“映客”进行了自己的直播处女秀。尽管在微博上火了至少5年，穿着休闲服在镜头前普及狂犬病的她还是有点紧张。
188,　　“现在网上很多人都在讲，被动物咬伤后，可以采取十日观察法，确定是否要注射狂犬疫苗，这种说法其实是不严谨的。因为狂犬病一旦发病，致死率几乎是100%。所以，除非有十足的把握保证咬伤你的动物没有携带狂犬病病毒，不然还是及时去医院注射疫苗更保险，毕竟生命只有一次。”
189,　　医疗常识直播、庭审视频直播、手术直播、救援直播、旅游直播，没有不可能，只有想不到。
190,　　伏牛堂创始人张天一在今年5月接受中国青年报·中青在线记者采访的时候，自述作为年轻的创始人，思想还算不古板，对新事物接受度比较高，但是“我的同事花两天时间看了一只猫的直播，我真的理解不了”。
191,　　然而，张天一这位头脑灵活的同事显然意识到了平台的价值。在一个月后，自称“牛肉粉教主”的他，带着他的猫“沈万三”，在平台上给观众直播了牛肉粉的制作过程。
192,　　除了直播食物制作，更多人在平台上做“吃播”。
193,　　吃播员是主播的一种。一般主播以颜值高、才艺好吸引观众，而吃播员要么吃相好，要么善于和粉丝沟通，要么只是单纯的食量惊人。
194,　　“橙子”就是其中一位吃播员。她是一位两岁小朋友的妈妈，由于丈夫在深圳工作，她照顾女儿之余还有精力，也在录吃播的过程中积累了一些粉丝，于是也加入了直播平台。
195,    临近春节，各大企业开始为2017年的市场进行布局。在手机行业中，有企业传出拖欠供应商账款以及裁员的消息。其中新三板上市公司豪声电子发布公告称，截至2017年1月3日，乐视手机共拖欠其账款共计人民币5000多万元，而上海国际经济贸易仲裁委员会已经受理了豪声电子的仲裁申请。
196,    同时，国内另一家知名企业中兴通讯也传出将裁员约3000人的消息，但中兴通讯回应表示，每年流动率约为5%到8%，属于正常情况。业内表示，中国品牌手机在近两年得到了快速发展，但产业快速发展的背后，则是各大企业之间的竞争变得更加激烈。
197,    广州日报记者段郴群
198,    豪声电子的公告显示，豪声电子与乐视手机运营主体公司乐视移动智能信息技术(北京)有限公司因采购业务形成债权债务关系，双方此前曾签订了一份还款协议，即乐视手机对豪声电子的应付款共计1102.04万元人民币和592.93万美元，且自该协议生效（2016 年11月16日）起，乐视手机将按照百分之六的年利率向豪声电子支付利息。原本双方约定，乐视移动需支付的款项，被平均分为九期进行支付，而第一期的支付时间是2016年12月11日。然而，乐视移动并未按期支付，双方协商未果，豪声电子于2017年1月3日申请仲裁。
199,    据悉，遭遇乐视欠款的豪声电子并非乐视的首家供应商，此前包括瑞声科技（02018.HK）、信利国际(00732.HK)以及仁宝电脑（2324.TW）均传出被乐视拖欠账款。
200,    仁宝电脑在2016年11月23日发布公告称，截至2016年9月底，公司对乐视的应收账款总额为新台币82.9亿元（约合人民币17.9亿元），其中逾期180天以内的金额为新台币42.5亿元（约合人民币9.2亿元）。仁宝电脑同时称，公司已与乐视协商还款计划，乐视已于2016年11月中旬依约还款，履约情形良好。
201,    而信利国际(00732.HK)也发布公告称，乐视已经在2016年11月开始按计划还款，但信利拒绝透露具体的欠款金额。
202,    相关数据
203,    IDC发布的全球智能手机季度跟踪报告显示，2016年第三季度全球智能手机出货量为3.629亿部，其中三星以7250万部的出货量居首，苹果排第二，而中国品牌华为、OPPO、vivo分列第三、第四、第五。市场份额上，2016年第三季度，三星占20.0%，去年同期为23.3%，苹果占12.5%，去年同期为13.4%，华为占9.3%，去年同期为7.6%，OPPO占7.0%，去年同期为3.2%，vivo占5.8%，去年同期2.9%。
204,    记者观察
205,    推高价手机寻利润
206,    来自IDC的数据显示，近两年中国品牌手机在全球手机市场表现非常出色。市场出货量大增的背后，如何增加利润则是中国手机品牌目前最需要突破的点。
207,    2016年11月，调研公司Strategy Analytics发布报告称，2016年第三季度全球智能手机运营利润为90亿美元。而苹果独占其中的81.9亿美元，占比高达91%。排在苹果之后的是华为，其在2016年第三季度全球智能手机利润份额为2.4%，约2亿美元，而中国另外两家智能手机厂商Vivo和OPPO分列三、四名，其全球利润份额均为2.2%。而为了获得较好的利润，目前中国手机厂商开始纷纷推出高价手机。其中，华为推出了Mate 9 Pro保时捷版，在欧洲售价达1395欧元，约合人民币10400元左右，国行价格在8999元，金立推出私人定制版手机售价甚至高达16999元。
208,    有业内人士表示，中国手机一直以价格战博取市场，“没有最低，只有更低”，从而希望用份额换取利润空间。但经过多年的竞争，许多品牌虽然销量上去了，但都是“赚吆喝不赚钱”，而苹果只依靠一款手机，售价达六七千元，却赚得盆满钵满。为此，中国手机品牌开始推出高价手机，一是为提升品牌形象，也可以在获得销量的同时，获得更大的利润。但业内人士认为，目前中国手机在核心部件上除了华为使用自己的芯片之外，其他品牌都是使用境外厂商的核心零部件，如何能在同质竞争的情况下，通过高价产品获得用户的青睐，尚需时间检验。
209,　　1月7日，“内容迭代风起时·2017新榜大会” 在北京嘉里中心召开。陪我APP总裁兼CEO，《财富自由革命之路》发起人孙宇晨应邀在大会上进行了主题为“社群下半场”的演讲。作为新媒体一年一度的风向标，25位新媒体行业大咖登台演讲，超过1400位内容创业者包括喜马拉雅FM创始人余建军、著名财经作家吴晓波、逻辑思维CEO脱不花等汇聚一堂，数十万观众通过直播也参与了这场盛会。
210,　　新榜创始人兼CEO徐达内在新榜大会上依据新榜独有的数据，分别从三个维度解读了2016年的内容创业环境，即内容需求、产业结构和商业模式。相较于内容电商在大众中的普及程度，知识付费在消费端才刚刚开始。在社交网络占据流量分发权的时代，内容品牌将会越来越重要，并且成为决定内容创业能否实现真正成功的生死命门。
211,　　在新榜大会中，90后知识网红，陪我APP创始人兼CEO，《财富自由革命之路》发起人孙宇晨也应邀在2017新榜大会进行主题为“社群下半场”的演讲，并且谈到了自己在喜马拉雅FM开播的一档付费语音节目《财富自由革命子路》。上线2个月就建立了线上超过5000人的社群，获得了500万的播放量以及4.2万的订阅量，成为喜马拉雅FM最火的财经节目之一，说明了社群对于知识网红的重要性。
212,　　相比于罗振宇在“时间的朋友”所讲出的不确定性，孙宇晨则提出了在两个确定性，其中之一便是“网红自我赋权，权威由平台转向个人”。罗振宇之前强调：得到永远不会做开放平台，有料没料，他说了算，相较得到APP这种对于知识网红采取的“闭源、控制、封闭”的社群平台赋权，孙宇晨更倾向于在解放个人的基础上对“开源、共享、自由”的平台进行探索开发，把社群的平台赋权变成社群自我赋权。孙宇晨认为“得到是成功的，但只有得到的行业是失败的”。
213,　　在未来一两年内，社群平台赋权与社群自我赋权还会进行不断的变革，更多优秀的内容创业者也会涌现出来，创作出更多的优质内容。
214,　　“平台的投诉完全就是摆设，找店家说这件事，也是一副打死都不承认的态度。好像我吃坏肚子是我自己的原因，不是他们的缘故。因为只是肠胃炎，也就是因食物不洁而导致腹泻腹痛呕吐，一般人会在四十八小时内不药而愈，不管是商家还是平台似乎都不会引起重视，能够打马虎眼过去就绝对不承认。”刘昌盛说，“我只能当自己倒霉，谁叫自己体质差，吃不起不卫生的小龙虾呢……”
215,　　不过，也有较劲的，北京白领苏眉莉就是这样一位。
216,　　同样是吃坏肚子，外卖平台也是不作为，再三推脱。
217,　　“我和平台吵了一架，说要去举报。平台最后给了一张6折的优惠券了事。”苏眉莉说，“当时觉得也就算了，然而之后下了个50元的单时发现只减了8元。”
218,　　接下来的事情，苏眉莉是这样叙述的：还好我数学好没有被蒙蔽，立刻联系客服。客服表示优惠券就是8元封顶，态度强硬。
219,"　　“我的初衷其实就想要句‘对不起’,平台自己搞错了，道歉都不肯吗？”苏眉莉说，“后来，对方又找来主管，扯了一个小时，始终不给解决方案。”"
220,　　最后的结果是，苏眉莉打了12315。工作人员认为，按规定，平台应该赔偿12元差价，并表示会帮助苏眉莉协调解决。
221,　　“维权完毕后，我直接将那家外卖平台删除。内部管理如此混乱，错了还那么有理的客服，恐怕真吃出问题来也是一样的态度，小命要紧。”苏眉莉说。
222,　　“排名”成摆设
223,　　据北京市食药监局食品市场监管处处长李江介绍，在此次被下线的“225家店铺中，除了无证店铺，也包括部分看似有证，实际上冒用他人许可证件或伪造许可证件的店铺”。
224,　　在被下线的225家店铺中，包括这样的餐厅：旺顺阁(财富中心店)、奶茶嫁给粉(角门东店)等在“饿了么”平台下线；池田寿司(龙德广场店)、杨国福麻辣烫(北京晓月苑店)等在美团外卖平台下线；虾吃虾涮(六里桥店)、麻里麻里麻辣香锅烤鱼(国奥店)等在百度外卖平台下线。
225,　　“我最开始订外卖时，就找销量以及排名靠前的，甚至是前十名，但后来发现，根本不是那么一回事，有些外卖就是小作坊出品，根本不可能与评价、销量相匹配。”刘昌盛说，后来，他选择比较知名餐厅的外卖，“不过还是‘中招’了”。
226,　　“不要相信那些所谓的排名、火爆度，甚至用户评价，大部分是人为弄出来的宣传，与商家食品质量没有一点关系，该拉肚子的时候绝不留情……这些信息除了用来忽悠人，诱导用户下单，对于其食品是否安全没有保障，以至于投诉也只是一个摆设。”今年年初刚刚从一家外卖平台辞职的崔永华说，“很多时候，平台只关注营销策略，却忘了一个企业最重要的是产品和服务。”
227,"　　此外，据崔永华透露，以前曾曝光一些外卖平台上有很多“幽灵餐厅”，也就是说商家共用地址或者共用营业执照、卫生许可证，“外卖平台公司里做商业拓展工作的，为了业绩不得不多刷新店，这让平台上有很多‘僵尸店’,尤其是饮料店、甜品店，其实完全不出订单”。"
228,　　“刷‘僵尸店’有业绩，大家能多赚一点是一点。虽然知道刷单不对，但久而久之反而觉得这是行业正常情况，情有可原。每次冲业绩时最煎熬的是要不要刷新门店，明知道刷了新增门店根本不会让业务有发展，但还是为了一点点工资去上单。”崔永华说，他曾供职的外卖平台一直在推一个商业计划，商家可以选择自愿上线，上线收取5%的佣金作为技术服务费，不上线没有任何费用，“但是上线与不上线的区别实在太大了，上线的商家能拿到好的排名和位置，不上线商家的排名很靠后。比如，我没有推上线的商家，其排名基本上在移动端排到了十屏之后，根本不会被消费者看到”。
229,　　刘昌盛说，如果外卖真的不能有效管理，以后除了少吃甚至不吃外卖，别无他法。“无论人家看上去做的多么火爆，也只能避而远之，毕竟不良商家多，为了盈利简化食物处理流程的更多，但健康是自己的”。
230,　　外卖配送难题
231,　　别无他法不是最好的办法，除了外卖平台上的商家，食客们也在另辟蹊径。
232,　　刘昌盛曾考虑过购买独立品牌的外卖，“因为独立制作以及配送，我觉得他们应该还可以信赖，但最近我发现‘死’了一批这样的独立商家”。
233,　　刘昌盛说的“独立品牌”，也就是那些宣传有自己的厨房甚至是中央厨房、能够独立配送的外卖品牌。在2015年左右，这种以解决白领午饭问题的外卖异军突起。
234,　　曾经是银行高管的孙天麒就是在这一批“下海”的，不过他的店只经营到了2016年年底。
235,　　因为有中央厨房，还可以通过微信订餐和自己配送，孙天麒的盒饭日均销量近30盒，但离盈亏平衡点日均100盒远远不够。
236,　　“主要原因在于市场还未打开。”孙天麒回忆说，即使增加了客户群，“但因为每份25元的价格对一些人来说较高，客户复购率高但是购买频率却较低，就算觉得产品再好，也没办法天天吃”。
237,　　丈夫一开始并不理解她“到底在做什么”，更不理解网上看她吃饭的人是怎么想的：“这有什么可看的？”后来，网友给橙子留言说，“我一个人在外地，看到你做的家常菜很想家，谢谢你。”
238,　　橙子说，丈夫看到这样的评论，才慢慢理解，做这件事能帮到别人，是有意义的。韩国吃播员朴舒妍在2014年走红网络时，《时代周刊》撰文称，“人们无法摆脱食物、吃与减肥，再加上城市生活的孤独，这两者促使了这种热潮的出现。”
239,"　　,服装和化妆是最大支出"
240,　　罗素说过，须知参差多态，乃是幸福的本源。主播“芙伊伊”显然没有听过这句话。在一场日常直播中，她拿起一本《史玉柱的创业智慧》，说“我不认识，史玉柱是谁啊，理都不想理。这书不知道说什么鬼！”
241,　　她和另外一位女主播，对着这本书大加嘲讽，她的同伴直白地说：“我知道你为什么不读书了，因为你不读书也能开跑车。”屏幕上的留言瞬间增多。
242,　　观众“竹色君子德”留言说：两个女人在炫，后面一堆人在支持，简直就是毁三观。他的话迅速被不断涌入的留言和礼物提示挤掉。屏幕上飘过一台硕大的游艇。两位网红没有忘记及时感谢。
243,　　不知道她们是否忘记，这本书也是粉丝给的礼物。
244,　　在杂志《男人装》发起的网络投票“中国最美主播TOP50”中，50位女主播清一色穿着不同颜色和款式的内衣，姿势各不相同地展现在网友面前。
245,　　榜单里面除了一句话介绍自己，每名主播都要回答两个问题：直播时最high的事/直播时最讨厌的事。其中有20位主播不约而同地提出了讨厌“黑粉”，也就是被认为故意反对主播的观众群。7位主播表示最讨厌直播时遇到性骚扰类话语，如“约粉儿吗？”以及更过分的污言秽语。
246,　　即便没有过分的词句，“锥子脸”“蛇精脸”也早已成为主播的代名词。甚至在广为流传的主播入门要求中，整容、微整、医美等费用已被纳入固定成本。43%的主播每月购物次数不低于10次。服装、化妆用品占了主播们57%的支出，是最大的支出项目。
247,　　主播们的千人一面，成为papi酱第一次出席网红盛典时，被网友惊呼“清新脱俗”“美哭了”的原因。
248,　　29岁的papi酱，本名姜逸磊。这位中央戏剧学院毕业、长相最多算得上标致的已婚女子，用自制的短视频积累了深厚的粉丝基础。进军直播圈后，她以首场2000万人次的观看数量，刷新了直播数字。之后，她被知名手表生产商积家看中，一改平日嬉笑怒骂的邻家女孩风，变身优雅的都市女性。
249,　　papi酱的模式难以复制。58同城联合花椒直播、数字100针对网络主播群体进行的研究报告《网络主播现状调查报告》（下称《生存报告》）显示，做到两年以上的老主播仅有17%，有56%的主播都是在近半年内开通的直播。这既说明了直播的火热，也间接说明观众对主播的忠诚度有限。
250,　　也有主播主动追求不同。榜单第三名的主播“陈潇睡不醒”在个人介绍中强调：大家多关注一下无套路不要礼物的我，我和他们不一样！
251,"　　,资本角力各显神通"
252,　　中国互联网络信息中心发布的报告《中国互联网络发展状况统计》显示，2016年6月，网络直播服务的用户规模超过3.25亿人，占当时网民使用率的45.8%。也就是说，近半数的网络使用者，都曾看过体育直播、真人聊天秀直播、游戏直播和演唱会直播。
253,　　2016年上半年，真人聊天秀直播和游戏直播在资本的推动下得到迅速发展，分别吸引了19.2%和16.5%的网民。
254,　　体育赛事直播则完全以重大赛事为核心吸引用户关注。2016 年上半年，小米、乐视、暴风科技等企业先后与各大国际知名体育赛事的版权方达成合作，以独有资源为优势扩大自身市场竞争力。
255,　　演唱会直播也成为直播的重要组成部分。截至2016年6月，用户使用率为13.3%。刚刚结束的王菲演唱会毫无悬念地打破了她单场演唱会观众纪录，因为据主办方的数据，有超过1000万人在腾讯直播中观看了这场演唱会。
256,　　互联网巨头挥起了收割直播的镰刀。腾讯直播、企鹅直播、NOW、QQ空间直播以及斗鱼等游戏平台直播，高度基于已有用户群，成为腾讯直播布局的战场。而一直播、映客、花椒风头正劲。
257,　　除了直播，平台借助观众基础，顺势进行内容生产。斗鱼TV先后推出《鱼塘星女神》《饭局的诱惑》《超级偶像》《霹雳小学》《花样大爬梯》等自制节目，并制作了网剧《幕后》；熊猫TV则推出了《hello女神》《Super Liar》《香蕉球直播》、《素人演唱会》、《乔我说》等节目；全民TV、战旗TV等平台也陆续出品《大Car驾到》《奥运翼起约》《马布里中美训练营》《沙巴岛主计划》《Lying Man》《旗咖秀》和奥运特别节目《带你去里约》。
258,　　据猎豹全球智库发布的数据，在国内App和游戏排行榜前150名中，有20个具有直播功能。
259,　　被视为走入黄昏的传统媒体也抓紧了直播的新风向，这被它们视为是传播优质内容的难得机会，也是媒介融合的重要尝试。
260,
261,　　还记得春节边看电视边“集五福”和“摇一摇”吗？春节发红包，是咱中国人的传统习俗，自从智能手机普及以后，收发红包就转移到了网上，成了互联网巨头比拼创意的机会。
262,　　今年春节前，两大红包“玩家”支付宝、微信早早就放出风来，今年没有红包大战。虽然主基调是高挂免战牌，但红包还是要发的。少了竞争和业绩压力，可以让红包更加回归沟通感情和大众娱乐的本源，更体现趣味性、互动性和科技感。
263,　　红包搭上时髦的互联网新技术
264,　　作为2017年春节红包的第一弹，12月21日，支付宝正式公布了“AR实景红包”的玩法。据了解，手机QQ、苏宁易购等平台，也要推出AR红包，可以想见，AR实景红包将成为今年红包的主流新玩法。
265,　　这些天，很多用户和商家开发出了很多AR红包的用途，从扫广告牌、扫脸、扫月亮，到红包签到、红包普法、红包推销，充分体现了人民群众的智慧。
266,　　AR实景红包采用“LBS＋AR＋红包”的方式，使用了现在很时髦的AR（现实增强）和LBS（基于位置的服务）技术，抢红包时，需要满足地理位置和AR实景扫描两个条件。 体现了“藏”和“抢”的乐趣，更接近春节发红包的本意，而且结合先进技术，玩出了时代感。
267,　　AR实景红包可以将原来单纯线上的沟通，变成线上线下的互动。目前各类App上的红包，从发放到领取，都是在线上完成的，很难产生面对面的互动。春节期间，如果发AR实景红包，藏红包和找红包的过程中、用户可以有大量的线下沟通机会。
268,　　把AR红包玩出花来
269,　　自从支付宝AR实景红包上线以来，很多人纷纷Get到了新技能，把AR红包的功能用到了极致。有的老板规定，员工在十二点之后扫亮着灯的公司大楼才能领到红包的，还有圣诞节通过扫前台圣诞树给加班员工发加班费。
270,　　被称为“国民岳父”的著名作家韩寒，虽然现在深居浅出，却通过AR红包与粉丝互动。日前，韩寒创办的《ONE·一个》APP联合微博上治愈的插画师卤猫，将支付宝AR红包藏在了卤猫位于西安的家中，邀请粉丝亲自到现场去找，不仅能领到韩寒和卤猫一起发放的2017个跨年大红包，还能进到卤猫的家里，和偶像近距离亲密接触。
271,　　另一位自媒体大V@关爱八卦成长协会，坐拥454万的粉丝，为了答谢这些“后宫”，会长专门准备了五万元现金的AR红包，作为新年大礼。“会长”把AR红包藏在了北京和长沙的几个特殊的地方，并亲自录了视频，把AR红包的详细提示都藏在了视频里。
272,　　粉丝只要能通过视频获得藏AR红包的详细地址，就可以找到红包，手气好的话有可能领到上百块钱的红包。一位美女用户，就把北京“藏红包”的地方都走了个遍。可见“会长”和红包的魅力。
273,　　平日里严肃的政府执法部门，也加入到了AR红包的玩家行列。去年12月24日平安夜，厦门警方推出时髦的防骗新招。警方在厦门中山路上，将防骗海报作为线索图，设置了1000个支付宝AR实景红包，通过找红包的方式，吸引用户阅读、传播防骗知识。
274,　　事实证明，用户的脑洞是很大的。有大学老师为了提高课堂“上座率”，用AR红包代替点名，效果立竿见影；有互联网公司为加强部门之间的沟通，老板在不同部门设置了AR实景红包，为了领取红包，大家走到其他部门，通过询问线索等方式，互相认识。
275,　　某公司在年会的时候，组织者将AR红包埋在现场不同的地方，通过扫企业logo、签到板等方式，用户可以领取公司红包，而且，每个红包的留言上，都有公司一年来取得的重大成绩。
276,　　回到初心，主要为增加年味
277,　　往年春节，各大互联网平台都会掀起“红包大战”，在用互联网的方式添加节日氛围之余，各大平台也各有各在业务上的“小九九”。支付宝和微信之间历年的“红包攻防大战”，都会引起行业和用户的强烈关注。
278,　　最近天气终于雾转晴，呼吸间空气清冽，一派冬日暖阳。久违的蓝天白云让人心情大好，小伙伴们无不感叹这样的好天气怎可辜负，纷纷迫不及待结束家里蹲，兴致勃勃地相约一起出门放风。三五好友自驾出城，一路欢声笑语，美好的一天就此开启！
279,　　超高颜值扮靓神助攻
280,　　出来玩耍放风，爱美的少男少女们当然少不了好好打扮一番：从鞋子包包到衣服配饰，都要一一精心挑选，确保自己以最佳面貌出门才肯罢休。但是别忘了，手机作为我们现在最离不开的日常伴侣之一，时时刻刻拿在手中让人想不注意都难，它的颜值绝对是你品位好坏的重要指标。华为畅享6S就拥有令人印象深刻的惊艳外形，其机身纤薄只有7.6mm，轻薄小巧。金属外壳采用陶瓷喷砂处理，握感细腻润泽，让人一触爱不释手。金银两色则是男女通杀，看起来青春时尚，非常符合年轻人的审美。如果你已从头到脚精心修饰，一台美貌大气的华为畅享6S则会使你如虎添翼。不管你是潮人朋克范，还是优雅小白领，亦或是休闲运动风，它都能轻松hold住，时尚百搭，拿在手中为你更添型格。带着它出门郊游，亮眼的外形保证吸睛无数，使你增光添彩的心机好物就是它啦！
281,
282,　　闪速对焦留住好时光
283,　　憋了这么久得以出游，小伙伴们自然是开心兴奋，在车上就笑作一团，好不热闹。从集合开始就有爱拍照的小伙伴免费充当摄影师，高高举着手机招呼大家统一看镜头合影，有人搞怪有人大笑还有的狂凹造型坚持偶像包袱不能掉，如此开心时刻，怎么能没有一台拍照功能强大的手机神器来hold住全场！高颜华为畅享6S不仅颜值高，内涵也不输阵：其采用新一代1300万后置摄像头，加入PDAF相位对焦技术，能够实现快速对焦。用它拍照，即使坐在车上路途颠簸，也能精准对焦，分分钟抓拍下小伙伴们的青春笑脸，而不会因为总是对焦不准而错失掉大家珍贵的互动画面，一颦一笑尽在掌握。等到置身于郊外的自然风光中，华为畅享6S更是记录美景倩影的必备法宝。轻轻一按，郊外的好山好水就轻松定格，画面清晰明暗适中，直接拿来做壁纸也毫无压力。它自带的美肤功能更让妹子们不能抗拒，即使状态欠佳也不用发愁，华为畅享6S的镜头保证让你神采奕奕，小痘痘小斑点消失不见，给你妥妥女神范儿！
284,
285,　　趁着难得的晴空万里，大家不妨带上华为畅享6S，开开心心地到郊外玩起来，它出色的拍照功能和超高颜值，绝对让你分分钟成为靓丽的风景线哦！
286,    本报讯 记者刘兴报道：江西省鹰潭市政府、中国移动通信集团江西有限公司、华为技术有限公司在南昌举行《鹰潭窄带物联网（NB-IoT）试点城市全面合作框架协议》签约仪式，标志着该市在全国率先启动建设全域覆盖的窄带物联网。
287,    窄带物联网是我国主导的国际标准，是全球共识的物联网技术，是实现万物互联、“互联网+”的关键技术和前景产业，将广泛应用于国计民生的各个领域。
288,    据了解，鹰潭是信息惠民、智慧城市和电信普遍服务三个国家级试点城市，物联网在信息惠民、城市管理、产业转型升级等方面具有良好的应用基础且需求旺盛。此次三方合作将充分发挥中国移动、华为公司在窄带物联网和信息产业方面的技术优势、研究成果以及鹰潭营造的良好“互联网+”发展环境，合力建成一张鹰潭全域覆盖的窄带物联网（NB-IoT）业务网、建设一个有窄带物联网（NB-IoT）特色的智慧创业园区、打造一个有鹰潭特色的智慧制造产业示范基地和树立一批全国领先有鹰潭特色的智慧标杆应用。通过窄带物联网（NB-IoT）试点城市建设，鹰潭推动传统制造企业向智能制造转型，并全面推进制造业、旅游业、物流业、农业等产业融合升级。
289,　　新年伊始，人工智能的快速发展引发世界一片惊叹。从跨年击败众多中日韩顶尖围棋高手的升级版AlphaGo，到DeepStack在德州扑克中战胜人类。前两日，世界中医药学会联合会秘书长桑滨生提出，中医药标准化发展与人工智能相结合，将有可能“驯化”出另一只“阿尔法狗”，完全可以胜任望闻问切。看来，已经没有什么能挡住人工智能的脚步了。人工智能究竟会给我们带来美好的生活，还是可怕的明天？智能机器人的技术伦理底线在哪里？本期抢头条，关注人工智能。
290,　　猜想1
291,　　“狗”能让人生活得更美好？
292,　　毋庸置疑，每一位参与智能机器人研发的科学家都抱着这样一种心态，科技以人为本，智能机器人“解放全人类”，把人从脏活、苦活、累活、技术活中“搭救”出来，让人类生活变得更加美好。于是乎，如你所见，舞台上出现了会跳舞的机器人，餐厅里出现了乖巧的机器人服务生，工业生产流水线上坐着不知疲劳的机器人，家里有了扫地、擦窗的机器人，据说，“机器人宠物”正在研发中……为了证明人类的“最强大脑”，科学家们还制造了专门挑战人类的“阿尔法狗”，玩起“以子之矛，攻子之盾”的游戏。
293,　　与那些沉溺于智能技术不能自拔、为智能机器人每一点成长而沾沾自喜的“理工男”相比，与“吃瓜群众”站在一旁的非科学家显然要冷静得多。伦理学家忧心“人机乱伦”，经济学家担心负外部性，社会学家焦虑社会失序，人类学家害怕人类受制于机器人……用一句大白话来概括，就是人类玩智能机器人是不是搬起石头砸自己的脚？对此，科学家的回答是：“现在谈论机器人是否会反噬人类，就像今天开始考虑如何在火星上打地基建房子一样多余。”谁说将来不能在火星上打地基建房子？多不多余，现在下结论，未免言之过早。
294,　　科学家说了，目前机器人的智力水平只能等同于3岁儿童。害怕“3岁儿童”反制人类当然是杞人之忧，但谁敢说，他们不是一天一天在成长呢？正如人类从来不怀疑自己的创造力，我们对智能机器人的成长前景充满乐观。当某一天，它有了学习能力，会思考、能判断，就算人类想伸手拔它的电源，恐怕也逃不过它的火眼金睛。只不过，弱弱地问一句，智能机器人这么“能”，真能让我们的生活变得更加美好吗？
295,　　譬如，当你自信满满去应聘，信心十足地向对方提出薪酬要求，而你的竞争对手居然分文不取，且任劳任怨，你是不是恨得想咬对手？当你去到一家新公司，老板居然不是人，而是一位具有“直接管理控制”能力的机器人，你是否感觉很有挫败感？当机器人介入你的生活、工作、娱乐场景，给你煮饭、照看孩子、帮你驾车、协助工作、陪你聊天……让你饭来张口衣来伸手，什么也不用多想，你是否会产生失能、失智的恐惧？当你起床后，第一个找的就是机器人，就像时下的智能手机，你还会和哥儿们坐下来撸个串、喝一杯，或者和心仪对象花前月下吗？想象一下，当你知道你爱的TA移情别恋上一个智能机器人时，会不会顿生五雷轰顶式毁灭感？
296,　　梦想照进现实，越来越多的智能机器人走进我们的生活，开启人类生活新纪元，我们应持欢迎态度，不过，未雨绸缪，兴利除弊，这种前瞻意识还是要有。至少不能让机器人牵着鼻子走。
297,　　(练洪洋)
298,　　猜想2
299,　　你会和机器人结婚吗？
